"Number";"Name";"Thumbnail";"Viewpoint Datei";"Selected Elements";"Hidden Elements";"Clipping";"BIM-BASIS_Number";"BIM-BASIS_ID";"BIM-BASIS Name-Number";"BIM-BASIS_Number KK";"BIM-BASIS_Num_Rev";"BIM-BASIS_Name";"Datum"
"#00022";"dimensioning of lift ?";"L36E.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00022";"VPC-00022-01-001";"dimensioning of lift ?-VPC-00022";"VPC-00022";"VPC-00022-01";"dimensioning of lift ?";"Do 24.09.2015 10:31 +0200"
"#00021";"pattern of windows is interesting";"D1PB.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00021";"VPC-00021-01-001";"pattern of windows is interesting-VPC-00021";"VPC-00021";"VPC-00021-01";"pattern of windows is interesting";"Do 24.09.2015 10:28 +0200"
"#00020";"wrong flooring ?";"HRWI.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00020";"VPC-00020-01-001";"wrong flooring ?-VPC-00020";"VPC-00020";"VPC-00020-01";"wrong flooring ?";"Do 24.09.2015 10:22 +0200"
"#00019";"load distribution of roof ?";"GJTY.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00019";"VPC-00019-01-001";"load distribution of roof ?-VPC-00019";"VPC-00019";"VPC-00019-01";"load distribution of roof ?";"Do 24.09.2015 10:16 +0200"
"#00018";"steel beam <> wall";"IBI8.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00018";"VPC-00018-01-001";"steel beam <> wall-VPC-00018";"VPC-00018";"VPC-00018-01";"steel beam <> wall";"Do 24.09.2015 10:10 +0200"
"#00017";"DUP-Section Stairs";"UB6Y.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00017";"VPC-00017-01-001";"DUP-Section Stairs-VPC-00017";"VPC-00017";"VPC-00017-01";"DUP-Section Stairs";"So 13.09.2015 14:04 +0200"
"#00016";"CLI-Section (Clipping)";"76ZA.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00016";"VPC-00016-01-001";"CLI-Section (Clipping)-VPC-00016";"VPC-00016";"VPC-00016-01";"CLI-Section (Clipping)";"Fr 11.09.2015 17:33 +0200"
"#00015";"CLI-Atrium";"T5T7.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00015";"VPC-00015-01-001";"CLI-Atrium-VPC-00015";"VPC-00015";"VPC-00015-01";"CLI-Atrium";"Fr 11.09.2015 16:56 +0200"
"#00014";"CLI-First Floor (Clipping)";"7FF1.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00014";"VPC-00014-01-001";"CLI-First Floor (Clipping)-VPC-00014";"VPC-00014";"VPC-00014-01";"CLI-First Floor (Clipping)";"Fr 11.09.2015 16:54 +0200"
"#00013";"CLI-Diagonal View (without Spaces) ";"KTJN.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00013";"VPC-00013-01-001";"CLI-Diagonal View (without Spaces) -VPC-00013";"VPC-00013";"VPC-00013-01";"CLI-Diagonal View (without Spaces) ";"Fr 11.09.2015 16:52 +0200"
"#00012";"DUP-Diagonal View (without Spaces)";"JAX7.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00012";"VPC-00012-01-001";"DUP-Diagonal View (without Spaces)-VPC-00012";"VPC-00012";"VPC-00012-01";"DUP-Diagonal View (without Spaces)";"Fr 11.09.2015 16:48 +0200"
"#00011";"DUP-Section Living Room (Clipping)";"NP3O.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00011";"VPC-00011-01-001";"DUP-Section Living Room (Clipping)-VPC-00011";"VPC-00011";"VPC-00011-01";"DUP-Section Living Room (Clipping)";"Fr 11.09.2015 16:46 +0200"
"#00010";"DUP-Electrical Parts Kitchen (Clipping)";"V5WY.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00010";"VPC-00010-01-001";"DUP-Electrical Parts Kitchen (Clipping)-VPC-00010";"VPC-00010";"VPC-00010-01";"DUP-Electrical Parts Kitchen (Clipping)";"Fr 11.09.2015 16:43 +0200"
"#00009";"DUP-View Left (incl. Spaces)";"E938.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00009";"VPC-00009-01-001";"DUP-View Left (incl. Spaces)-VPC-00009";"VPC-00009";"VPC-00009-01";"DUP-View Left (incl. Spaces)";"Fr 11.09.2015 16:40 +0200"
"#00008";"DUP-First Floor (Clipping)";"7B84.png";"cam.json";"selected.json";"hidden.json";"clipping.json";"VPC-00008";"VPC-00008-01-001";"DUP-First Floor (Clipping)-VPC-00008";"VPC-00008";"VPC-00008-01";"DUP-First Floor (Clipping)";"Fr 11.09.2015 15:16 +0200"
