"Active";"Deactivated On";"Reference Author";"Reference ID";"Reference Version";"Relatum 1 Name";"Relatum 1 Number - Revision - Version";"Relatum 1 Revision";"Relatum 1 number";"Relatum 2 Name";"Relatum 2 Number - Revision - Version";"Relatum 2 Revision";"Relatum 2 number"
"";"";"Dokumentablage, Company, think project!";"REL-01010";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"RFI # - 10000";"RFI-00025-00-V-001";"00";"RFI-00025"
"";"";"Dokumentablage, Company, think project!";"REL-00599";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_COORDINATION_STR-ARC-MEP_01";"VPC-00103-00-V-001";"00";"VPC-00103"
"";"";"Dokumentablage, Company, think project!";"REL-00597";"V-001";"CLI_COORDINATION_STR-ARC-MEP_01";"CMC-00134-01-V-001";"01";"CMC-00134";"CLI_COORDINATION_STR-ARC-MEP_01";"VPC-00104-00-V-001";"00";"VPC-00104"
"";"";"Dokumentablage, Company, think project!";"REL-00584";"V-001";"CLI_PARTIAL-MODEL_ARC[AT]_1";"CMC-00135-01-V-001";"01";"CMC-00135";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00601";"V-001";"CLI_PARTIAL-MODEL_ARC[AT]_1";"CMC-00135-01-V-001";"01";"CMC-00135";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105"
"";"";"Dokumentablage, Company, think project!";"REL-00604";"V-001";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00603";"V-001";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00602";"V-001";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-01733";"V-001";"Koordinationmodell";"CMC-00136-01-V-001";"01";"CMC-00136";"Structural - Atrium";"VPC-00260-01-V-001";"01";"VPC-00260"
"";"";"Dokumentablage, Company, think project!";"REL-00606";"V-001";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00607";"V-001";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-00608";"V-001";"Sven doc";"CMC-00137-01-V-001";"01";"CMC-00137";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-01-V-001";"01";"PMC-00010"
"";"";"Dokumentablage, Company, think project!";"REL-00609";"V-001";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00621";"V-001";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00617";"V-001";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_EW_ALL_ARC_400";"PMC-00005-01-V-001";"01";"PMC-00005"
"";"";"Dokumentablage, Company, think project!";"REL-00622";"V-001";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-00623";"V-001";"Sven doc";"CMC-00137-02-V-001";"02";"CMC-00137";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-01-V-001";"01";"PMC-00010"
"";"";"Dokumentablage, Company, think project!";"REL-01759";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105"
"";"";"Dokumentablage, Company, think project!";"REL-01763";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"TEST GEE 24/03-2";"VPC-00205-01-V-001";"01";"VPC-00205"
"";"";"Dokumentablage, Company, think project!";"REL-01758";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"Model Error - wall offset";"VPC-00247-01-V-001";"01";"VPC-00247"
"";"";"Dokumentablage, Company, think project!";"REL-01761";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"Model Error - wall offset";"VPC-00249-01-V-001";"01";"VPC-00249"
"";"";"Dokumentablage, Company, think project!";"REL-01760";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"View Atrium - Correct";"VPC-00251-01-V-001";"01";"VPC-00251"
"";"";"Dokumentablage, Company, think project!";"REL-01762";"V-001";"ToniTest";"CMC-00138-01-V-001";"01";"CMC-00138";"Structural - Atrium";"VPC-00260-01-V-001";"01";"VPC-00260"
"";"";"Dokumentablage, Company, think project!";"REL-00618";"V-001";"ToniTest";"CMC-00138-02-V-001";"02";"CMC-00138";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004"
"";"";"Dokumentablage, Company, think project!";"REL-00619";"V-001";"ToniTest";"CMC-00138-02-V-001";"02";"CMC-00138";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007"
"";"";"Dokumentablage, Company, think project!";"REL-00620";"V-001";"ToniTest";"CMC-00138-02-V-001";"02";"CMC-00138";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-02-V-003";"02";"PMC-00010"
"";"";"Dokumentablage, Company, think project!";"REL-00632";"V-001";"CMC X3D";"CMC-00157-02-V-001";"02";"CMC-00157";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00633";"V-001";"CMC 12";"CMC-00159-02-V-001";"02";"CMC-00159";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00634";"V-001";"CMC 13";"CMC-00160-01-V-001";"01";"CMC-00160";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00635";"V-001";"CMC 14";"CMC-00161-01-V-001";"01";"CMC-00161";"CLI_TPM_EA_ALL_MEP_400";"PMC-00002-01-V-001";"01";"PMC-00002"
"";"";"Dokumentablage, Company, think project!";"REL-00636";"V-001";"ToniTest";"CMC-00162-01-V-001";"01";"CMC-00162";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105"
"";"";"Dokumentablage, Company, think project!";"REL-00645";"V-001";"ToniTest";"CMC-00164-01-V-001";"01";"CMC-00164";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105"
